Application Number,Total Amount,Total Number,Application Received Date,Application Approved Date,Vehicle Category,Vehicle Model,Vehicle Make,Vehicle Year,Date of Purchase,Purchase or Lease?,Zip Code,County
M-004236,"$2,500",2500,3/5/17 8:29,3/8/17 16:59,BEV,Chevrolet Bolt,Chevrolet,2017,2017-02-16,Purchase,1464,Middlesex
M-004237,"$2,500",2500,3/5/17 9:53,3/23/17 12:52,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-19,Purchase,1810,Essex
M-004238,"$1,000",1000,3/5/17 10:46,3/10/17 11:46,BEV,Tesla Model S - 75 kWh,Tesla,2017,2017-03-04,Purchase,2465,Middlesex
M-004239,"$2,500",2500,3/5/17 12:28,3/23/17 12:44,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-28,Purchase,2176,Middlesex
M-004240,"$2,500",2500,3/5/17 13:39,3/8/17 16:46,BEV,BMW i3,BMW,2017,2017-02-28,Lease,1945,Essex
M-004241,"$2,500",2500,3/5/17 17:29,3/20/17 12:43,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-01-13,Lease,1060,Hampshire
M-004242,"$1,000",1000,3/5/17 17:36,3/8/17 16:47,BEV,Tesla Model X,Tesla,2016,2016-12-28,Lease,2492,Norfolk
M-004243,"$1,000",1000,3/5/17 19:16,3/8/17 17:00,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-03,Lease,2482,Norfolk
M-004244,"$1,000",1000,3/5/17 20:59,3/15/17 17:52,PHEV,BMW X5 xDrive40e,BMW,2017,2016-12-14,Lease,1748,Middlesex
M-004245,"$2,500",2500,3/5/17 23:54,3/8/17 16:50,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-02,Lease,2476,Middlesex
M-004246,"$1,000",1000,3/6/17 7:38,3/8/17 17:00,BEV,Tesla Model X,Tesla,2017,2017-03-04,Purchase,2420,Middlesex
M-004247,"$2,500",2500,3/6/17 9:09,3/23/17 17:44,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-01,Lease,2143,Middlesex
M-004248,"$2,500",2500,3/6/17 9:42,3/8/17 16:54,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-03,Purchase,1907,Essex
M-004249,"$1,500",1500,3/6/17 11:56,3/8/17 16:48,PHEV,Toyota Prius Prime,Toyota,2017,2017-02-27,Purchase,2360,Plymouth
M-004250,"$1,000",1000,3/6/17 13:07,3/8/17 16:55,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-04,Purchase,1106,Hampden
M-004251,"$1,500",1500,3/6/17 14:37,3/10/17 11:22,PHEV,Toyota Prius Prime,Toyota,2017,2016-12-30,Purchase,2360,Plymouth
M-004252,"$2,500",2500,3/6/17 14:55,3/8/17 16:56,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-01-31,Lease,1944,Essex
M-004253,"$1,500",1500,3/6/17 15:06,3/8/17 17:02,PHEV,Ford C-MAX Energi,Ford,2016,2017-03-06,Lease,1040,Hampden
M-004254,"$2,500",2500,3/6/17 17:24,3/8/17 17:01,BEV,Nissan Leaf S,Nissan,2017,2017-02-28,Lease,2459,Middlesex
M-004255,"$2,500",2500,3/6/17 19:51,3/23/17 18:14,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-05,Lease,2632,Barnstable
M-004256,"$2,500",2500,3/7/17 1:24,3/15/17 17:37,BEV,Chevrolet Bolt,Chevrolet,2017,2017-02-27,Purchase,1451,Worcester
M-004257,"$1,000",1000,3/7/17 6:39,3/15/17 17:47,BEV,Tesla Model X,Tesla,2017,2017-03-04,Purchase,2536,Barnstable
M-004258,"$1,000",1000,3/7/17 8:06,3/15/17 17:42,BEV,Tesla Model X,Tesla,2017,2017-03-03,Purchase,1510,Worcester
M-004259,"$2,500",2500,3/7/17 12:27,3/20/17 12:19,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-07,Lease,2341,Plymouth
M-004260,"$1,500",1500,3/7/17 12:42,3/15/17 18:03,PHEV,Toyota Prius Prime,Toyota,2017,2017-02-06,Purchase,2038,Norfolk
M-004261,$750,750,3/7/17 12:45,4/14/17 12:17,ZEM,Zero FX,Zero,2016,2017-01-19,Purchase,2122,Suffolk
M-004262,"$2,500",2500,3/7/17 14:16,3/15/17 16:14,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-06,Purchase,1267,Berkshire
M-004263,"$2,500",2500,3/7/17 16:01,3/20/17 11:56,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-05,Lease,1532,Worcester
M-004264,"$1,500",1500,3/7/17 16:28,3/15/17 17:39,PHEV,Toyota Prius Prime,Toyota,2017,2016-12-27,Purchase,1373,Franklin
M-004265,"$2,500",2500,3/7/17 17:25,3/15/17 16:16,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-01-14,Lease,2140,Middlesex
M-004266,"$1,500",1500,3/7/17 17:42,3/15/17 17:36,PHEV,Ford Fusion Energi,Ford,2017,2017-03-07,Lease,2446,Norfolk
M-004268,"$2,500",2500,3/7/17 21:22,3/15/17 17:37,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-28,Lease,1742,Middlesex
M-004269,"$2,500",2500,3/8/17 1:54,3/17/17 14:16,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-13,Lease,1002,Hampshire
M-004270,"$2,500",2500,3/8/17 5:37,3/15/17 17:50,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-06,Lease,2169,Norfolk
M-004271,"$1,000",1000,3/8/17 10:59,3/17/17 13:38,BEV,Tesla Model X,Tesla,2017,2017-03-07,Purchase,1532,Worcester
M-004272,"$2,500",2500,3/8/17 12:14,3/15/17 17:38,BEV,Chevrolet Bolt,Chevrolet,2017,2017-02-24,Purchase,2461,Middlesex
M-004273,"$2,500",2500,3/8/17 12:27,3/15/17 17:41,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-06,Lease,2169,Norfolk
M-004274,"$1,000",1000,3/8/17 14:23,3/23/17 17:57,BEV,Tesla Model S - 75 kWh,Tesla,2017,2017-03-05,Purchase,2460,Middlesex
M-004275,"$1,000",1000,3/8/17 17:56,3/15/17 17:44,BEV,Tesla Model X,Tesla,2017,2017-03-03,Purchase,2116,Suffolk
M-004276,"$1,000",1000,3/8/17 18:23,3/23/17 17:54,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-04,Lease,1106,Hampden
M-004277,"$2,500",2500,3/9/17 10:33,3/15/17 17:43,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-02,Lease,2066,Plymouth
M-004279,"$2,500",2500,3/9/17 12:19,3/17/17 13:47,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-27,Lease,2184,Norfolk
M-004280,"$1,500",1500,3/9/17 12:42,3/15/17 17:56,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-07,Purchase,1083,Worcester
M-004283,"$2,500",2500,3/10/17 1:21,3/24/17 11:54,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-09,Purchase,2747,Bristol
M-004284,"$2,500",2500,3/10/17 8:51,3/17/17 14:03,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-09,Purchase,1066,Hampshire
M-004285,"$1,000",1000,3/10/17 10:22,3/15/17 17:51,BEV,Tesla Model X,Tesla,2017,2017-03-08,Purchase,1118,Hampden
M-004286,"$1,000",1000,3/10/17 15:58,3/15/17 18:01,BEV,Tesla Model S - 75 kWh,Tesla,2017,2017-02-27,Lease,2482,Norfolk
M-004287,"$1,000",1000,3/10/17 16:09,3/15/17 17:52,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-01,Purchase,1720,Middlesex
M-004288,"$1,500",1500,3/10/17 17:08,3/15/17 17:53,PHEV,Ford Fusion Energi,Ford,2017,2017-03-10,Lease,1104,Hampden
M-004289,"$1,000",1000,3/10/17 21:53,3/17/17 14:19,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-02-23,Purchase,1773,Middlesex
M-004290,"$2,500",2500,3/11/17 9:37,3/17/17 14:35,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-04,Purchase,1810,Essex
M-004291,"$2,500",2500,3/11/17 10:06,3/15/17 18:04,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-05,Lease,2760,Bristol
M-004292,"$1,500",1500,3/11/17 12:16,3/15/17 17:54,PHEV,Ford C-MAX Energi,Ford,2016,2016-12-17,Purchase,2190,Norfolk
M-004293,"$1,500",1500,3/11/17 15:04,3/15/17 17:59,PHEV,Ford C-MAX Energi,Ford,2017,2017-03-04,Lease,2332,Plymouth
M-004294,"$2,500",2500,3/11/17 15:13,3/15/17 17:55,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-01,Purchase,2056,Norfolk
M-004295,"$2,500",2500,3/11/17 15:58,3/30/17 11:22,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-21,Purchase,1721,Middlesex
M-004296,"$2,500",2500,3/11/17 17:19,3/15/17 17:56,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-11,Purchase,1581,Worcester
M-004297,"$1,500",1500,3/12/17 0:41,3/23/17 12:55,PHEV,Ford C-MAX Energi,Ford,2016,2017-03-10,Lease,1109,Hampden
M-004298,"$2,500",2500,3/12/17 12:37,3/17/17 14:31,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-10,Purchase,1201,Berkshire
M-004299,"$2,500",2500,3/12/17 13:01,3/20/17 12:36,BEV,Volkswagen e-Golf,Volkswagen,2016,2017-03-08,Lease,1749,Middlesex
M-004300,"$2,500",2500,3/12/17 13:21,3/17/17 13:51,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-05,Lease,2176,Middlesex
M-004301,"$1,000",1000,3/12/17 13:33,3/15/17 18:07,PHEV,Volvo XC90 T8,Volvo,2017,2017-03-06,Purchase,2459,Middlesex
M-004302,"$1,000",1000,3/12/17 14:16,3/27/17 17:35,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-06,Purchase,2109,Suffolk
M-004303,"$2,500",2500,3/12/17 14:57,3/15/17 17:57,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-01,Purchase,2459,Middlesex
M-004304,"$1,000",1000,3/12/17 16:16,3/15/17 18:00,PHEV,BMW X5 xDrive40e,BMW,2017,2016-12-15,Lease,1748,Middlesex
M-004305,"$2,500",2500,3/13/17 10:20,3/15/17 18:02,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-09,Purchase,1536,Worcester
M-004307,"$1,000",1000,3/13/17 11:11,3/23/17 18:25,BEV,Tesla Model X,Tesla,2017,2017-03-11,Purchase,2420,Middlesex
M-004308,"$1,000",1000,3/13/17 15:06,3/23/17 17:59,BEV,Tesla Model X,Tesla,2016,2016-12-15,Purchase,2481,Norfolk
M-004309,"$2,500",2500,3/14/17 0:43,3/27/17 17:39,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-26,Purchase,2155,Middlesex
M-004310,"$1,000",1000,3/14/17 9:48,3/23/17 18:19,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-13,Purchase,1776,Middlesex
M-004311,"$1,000",1000,3/14/17 11:27,3/15/17 18:09,PHEV,BMW X5 xDrive40e,BMW,2017,2017-03-13,Purchase,2635,Barnstable
M-004313,"$1,000",1000,3/14/17 12:59,4/4/17 13:18,BEV,Tesla Model S - 60 kWh,Tesla,2016,2017-02-14,Purchase,1886,Middlesex
M-004314,"$1,000",1000,3/14/17 19:42,3/24/17 11:45,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-03,Purchase,2324,Plymouth
M-004315,"$2,500",2500,3/14/17 22:27,3/24/17 15:12,BEV,Nissan Leaf SV,Nissan,2017,2017-03-11,Lease,2492,Norfolk
M-004316,"$2,500",2500,3/14/17 23:03,3/23/17 12:53,PHEV+,Chevrolet Volt,Chevrolet,2017,2016-12-28,Purchase,1720,Middlesex
M-004317,"$2,500",2500,3/15/17 8:03,3/23/17 18:40,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-10,Purchase,2188,Norfolk
M-004318,"$1,000",1000,3/15/17 11:01,4/4/17 11:06,BEV,Tesla Model S - 90 kWh,Tesla,2016,2016-12-27,Purchase,2420,Middlesex
M-004319,"$1,500",1500,3/15/17 15:43,3/23/17 12:54,PHEV,Toyota Prius Prime,Toyota,2017,2017-02-17,Purchase,2176,Middlesex
M-004321,"$1,000",1000,3/15/17 21:05,3/23/17 12:42,BEV,Tesla Model S - 60 kWh,Tesla,2016,2017-03-15,Lease,1453,Worcester
M-004322,"$1,500",1500,3/15/17 21:45,3/23/17 14:01,PHEV,Ford Fusion Energi,Ford,2017,2016-12-29,Purchase,2155,Middlesex
M-004323,"$1,500",1500,3/16/17 9:47,3/23/17 12:45,PHEV,Ford C-MAX Energi,Ford,2017,2017-02-28,Purchase,1262,Berkshire
M-004324,"$2,500",2500,3/16/17 10:27,3/23/17 18:45,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-04,Purchase,2703,Bristol
M-004325,"$1,000",1000,3/16/17 12:07,3/30/17 11:30,BEV,Tesla Model X,Tesla,2016,2017-02-04,Purchase,2655,Barnstable
M-004326,"$1,000",1000,3/16/17 12:12,3/30/17 10:57,BEV,Tesla Model S - 60 kWh,Tesla,2016,2016-12-16,Purchase,2129,Suffolk
M-004327,"$1,000",1000,3/16/17 18:34,3/23/17 13:56,PHEV,BMW X5 xDrive40e,BMW,2017,2017-03-16,Lease,1930,Essex
M-004328,"$1,000",1000,3/16/17 22:20,3/23/17 12:58,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-11,Purchase,2052,Norfolk
M-004329,"$1,500",1500,3/17/17 11:07,3/24/17 12:10,PHEV,BMW 330e,BMW,2017,2017-03-15,Purchase,1930,Essex
M-004331,"$1,000",1000,3/17/17 13:41,3/23/17 14:06,BEV,Tesla Model S 100 kWh,Tesla,2017,2017-03-03,Purchase,1965,Essex
M-004332,"$1,500",1500,3/17/17 13:44,3/23/17 14:07,PHEV,Ford Fusion Energi,Ford,2017,2017-03-17,Lease,1085,Hampden
M-004334,"$2,500",2500,3/17/17 23:08,4/4/17 13:25,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-13,Lease,2171,Norfolk
M-004335,"$1,500",1500,3/18/17 10:10,3/30/17 11:24,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-13,Purchase,2324,Plymouth
M-004336,"$2,500",2500,3/18/17 10:59,3/23/17 18:36,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-17,Purchase,2474,Middlesex
M-004337,"$2,500",2500,3/18/17 11:05,3/30/17 10:59,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-04,Lease,1778,Middlesex
M-004338,"$1,500",1500,3/18/17 12:04,3/31/17 14:50,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-12,Purchase,1453,Worcester
M-004339,"$1,500",1500,3/18/17 14:24,3/23/17 14:00,PHEV,Ford C-MAX Energi,Ford,2016,2017-01-31,Lease,1605,Worcester
M-004340,"$1,000",1000,3/18/17 14:47,3/23/17 14:04,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-17,Purchase,2081,Norfolk
M-004341,"$1,500",1500,3/18/17 15:22,3/23/17 14:02,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-15,Purchase,1520,Worcester
M-004342,"$1,500",1500,3/18/17 15:38,4/6/17 11:38,PHEV,Toyota Prius Prime,Toyota,2017,2016-12-28,Purchase,1096,Hampshire
M-004344,"$2,500",2500,3/18/17 16:33,3/23/17 14:03,BEV,Chevrolet Bolt,Chevrolet,2017,2017-02-25,Purchase,2493,Middlesex
M-004346,"$2,500",2500,3/18/17 22:11,3/24/17 11:48,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-08,Purchase,2492,Norfolk
M-004347,"$1,000",1000,3/19/17 10:26,3/23/17 14:05,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-16,Purchase,2356,Bristol
M-004348,"$1,000",1000,3/19/17 12:11,3/23/17 14:04,BEV,Tesla Model X,Tesla,2017,2017-03-18,Lease,2184,Norfolk
M-004349,"$1,000",1000,3/19/17 16:53,3/30/17 11:00,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-02,Purchase,1702,Middlesex
M-004350,"$1,000",1000,3/19/17 22:06,3/30/17 11:01,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-03-16,Lease,1721,Middlesex
M-004352,"$2,500",2500,3/20/17 9:36,4/5/17 15:21,BEV,Volkswagen e-Golf,Volkswagen,2016,2017-01-02,Lease,2568,Dukes
M-004353,"$1,500",1500,3/20/17 10:13,3/23/17 14:08,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-12,Purchase,1923,Essex
M-004354,"$2,500",2500,3/20/17 12:49,3/24/17 12:31,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-01,Purchase,2155,Middlesex
M-004355,"$1,000",1000,3/20/17 18:03,4/21/17 13:06,BEV,Tesla Model S - 90 kWh,Tesla,2016,2016-12-23,Purchase,2067,Norfolk
M-004356,"$2,500",2500,3/20/17 21:08,3/31/17 15:37,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-19,Lease,2451,Middlesex
M-004357,"$2,500",2500,3/21/17 10:03,4/19/17 14:35,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-18,Purchase,1824,Middlesex
M-004358,"$2,500",2500,3/21/17 12:03,3/31/17 14:35,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-19,Lease,2459,Middlesex
M-004360,"$2,500",2500,3/21/17 19:42,3/30/17 10:58,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-11,Purchase,2138,Middlesex
M-004361,"$1,000",1000,3/22/17 13:29,4/4/17 11:16,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-02-22,Purchase,2090,Norfolk
M-004362,"$1,500",1500,3/22/17 16:00,3/30/17 11:31,PHEV,Audi A3 e-tron,Audi,2017,2017-03-21,Purchase,1921,Essex
M-004363,"$1,500",1500,3/22/17 16:25,3/31/17 14:43,PHEV,Ford Fusion Energi,Ford,2017,2017-03-22,Lease,1030,Hampden
M-004364,"$2,500",2500,3/22/17 21:09,4/17/17 11:54,BEV,Nissan Leaf S,Nissan,2017,2017-03-22,Lease,2466,Middlesex
M-004365,"$2,500",2500,3/23/17 10:32,3/30/17 11:00,BEV,Chevrolet Bolt,Chevrolet,2017,2017-03-22,Lease,2702,Bristol
M-004366,"$2,500",2500,3/23/17 11:16,4/6/17 11:05,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-22,Purchase,1062,Hampshire
M-004367,"$2,500",2500,3/23/17 11:40,3/30/17 11:20,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-16,Purchase,2356,Bristol
M-004368,"$1,500",1500,3/23/17 12:21,3/30/17 11:11,PHEV,Ford Fusion Energi,Ford,2017,2017-03-21,Lease,1773,Middlesex
M-004369,"$1,500",1500,3/23/17 12:40,3/30/17 11:12,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-21,Purchase,2030,Norfolk
M-004370,"$1,000",1000,3/23/17 16:14,3/31/17 15:14,BEV,Tesla Model X,Tesla,2017,2017-03-23,Purchase,2127,Suffolk
M-004371,"$2,500",2500,3/23/17 16:49,4/10/17 13:40,BEV,Kia Soul EV,Kia,2016,2017-03-18,Lease,2420,Middlesex
M-004372,"$1,500",1500,3/23/17 18:13,3/30/17 11:20,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-16,Purchase,2478,Middlesex
M-004373,"$1,500",1500,3/23/17 18:57,3/31/17 15:00,PHEV,Toyota Prius Prime,Toyota,2017,2016-12-17,Purchase,2472,Middlesex
M-004374,"$1,000",1000,3/23/17 21:31,4/4/17 12:47,BEV,Tesla Model S - 60 kWh,Tesla,2016,2016-12-31,Purchase,1590,Worcester
M-004375,"$1,500",1500,3/23/17 21:39,4/21/17 12:43,PHEV,Ford C-MAX Energi,Ford,2017,2017-03-21,Lease,2478,Middlesex
M-004376,"$2,500",2500,3/24/17 0:10,3/30/17 11:15,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-22,Purchase,2035,Norfolk
M-004378,"$1,500",1500,3/24/17 15:24,3/30/17 11:21,PHEV,Ford Fusion Energi,Ford,2017,2017-03-18,Lease,1030,Hampden
M-004379,"$1,500",1500,3/24/17 15:47,4/4/17 12:56,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-16,Purchase,2140,Middlesex
M-004381,"$1,000",1000,3/24/17 21:00,4/4/17 11:55,BEV,Tesla Model S - 75 kWh,Tesla,2016,2017-03-24,Purchase,2370,Plymouth
M-004382,"$2,500",2500,3/24/17 21:21,4/4/17 11:32,BEV,Chevrolet Bolt EV,Chevrolet,2017,2017-03-10,Purchase,1532,Worcester
M-004383,"$1,500",1500,3/25/17 10:00,3/30/17 11:16,PHEV,Audi A3 e-tron,Audi,2017,2017-03-21,Lease,2482,Norfolk
M-004384,"$1,000",1000,3/25/17 12:10,3/30/17 11:16,BEV,Tesla Model X,Tesla,2016,2016-12-29,Purchase,1772,Worcester
M-004385,"$1,500",1500,3/25/17 13:20,4/4/17 12:43,PHEV,Ford C-MAX Energi,Ford,2017,2017-03-24,Purchase,2030,Norfolk
M-004386,"$1,000",1000,3/25/17 13:49,3/31/17 14:26,BEV,Tesla Model S - 75 kWh,Tesla,2017,2017-03-24,Purchase,2446,Norfolk
M-004387,"$1,000",1000,3/25/17 16:27,3/30/17 11:33,PHEV,BMW X5 xDrive40e,BMW,2017,2017-03-24,Lease,2420,Middlesex
M-004388,"$1,000",1000,3/25/17 18:45,4/5/17 14:51,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-25,Purchase,2420,Middlesex
M-004389,"$2,500",2500,3/25/17 18:54,4/4/17 13:13,BEV,BMW i3 REx,BMW,2017,2017-03-21,Lease,2445,Norfolk
M-004390,"$1,000",1000,3/25/17 19:56,4/5/17 14:57,BEV,Tesla Model S 100 kWh,Tesla,2017,2017-03-23,Purchase,1775,Middlesex
M-004391,"$1,000",1000,3/26/17 7:21,3/30/17 11:19,BEV,Tesla Model S - 90 kWh,Tesla,2016,2017-03-25,Purchase,2067,Norfolk
M-004392,"$1,000",1000,3/26/17 10:27,4/19/17 15:02,BEV,Tesla Model S 100 kWh,Tesla,2017,2017-03-25,Lease,2467,Middlesex
M-004393,"$1,000",1000,3/26/17 11:16,4/12/17 14:54,BEV,Tesla Model S - 60 kWh,Tesla,2017,2017-02-24,Purchase,2459,Middlesex
M-004394,"$2,500",2500,3/26/17 11:38,3/31/17 15:08,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-02-27,Purchase,2132,Suffolk
M-004395,"$1,500",1500,3/26/17 12:24,3/30/17 11:36,PHEV,Audi A3 e-tron,Audi,2017,2017-03-17,Purchase,1879,Middlesex
M-004396,"$1,500",1500,3/26/17 12:56,3/30/17 11:37,PHEV,Ford C-MAX Energi,Ford,2017,2017-03-23,Purchase,1301,Franklin
M-004397,"$1,000",1000,3/26/17 13:09,3/30/17 11:38,BEV,Tesla Model S 100 kWh,Tesla,2017,2017-03-23,Purchase,1821,Middlesex
M-004398,"$1,500",1500,3/26/17 13:35,3/30/17 11:34,PHEV,Hyundai Sonata Plug-in Hybrid,Hyundai,2017,2017-03-18,Purchase,2124,Suffolk
M-004399,"$2,500",2500,3/26/17 15:26,4/6/17 12:00,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-25,Purchase,1581,Worcester
M-004400,"$1,500",1500,3/26/17 19:16,3/30/17 11:23,PHEV,Audi A3 e-tron,Audi,2017,2017-03-20,Purchase,1742,Middlesex
M-004401,"$1,000",1000,3/26/17 21:05,4/10/17 12:30,BEV,Tesla Model S - 75 kWh,Tesla,2016,2017-01-18,Purchase,1730,Middlesex
M-004402,"$1,500",1500,3/27/17 9:02,3/30/17 11:35,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-13,Purchase,1760,Middlesex
M-004403,"$2,500",2500,3/27/17 11:21,3/30/17 11:32,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-24,Purchase,1756,Worcester
M-004406,"$1,000",1000,3/27/17 14:13,3/30/17 11:42,BEV,Tesla Model S - 60 kWh,Tesla,2016,2016-12-31,Purchase,1852,Middlesex
M-004407,"$1,000",1000,3/27/17 15:39,3/31/17 15:32,BEV,Tesla Model S - 75 kWh,Tesla,2017,2017-03-17,Purchase,2461,Middlesex
M-004408,"$2,500",2500,3/27/17 16:16,3/30/17 11:34,BEV,Chevrolet Bolt EV,Chevrolet,2017,2017-03-24,Purchase,2643,Barnstable
M-004409,"$1,000",1000,3/27/17 18:28,3/30/17 11:25,PHEV,BMW X5 xDrive40e,BMW,2017,2017-03-13,Purchase,2093,Norfolk
M-004410,"$2,500",2500,3/27/17 18:48,3/30/17 11:41,BEV,Chevrolet Bolt EV,Chevrolet,2017,2017-03-27,Purchase,2472,Middlesex
M-004411,"$2,500",2500,3/27/17 19:59,4/5/17 15:04,BEV,Chevrolet Bolt EV,Chevrolet,2017,2017-03-27,Purchase,2421,Middlesex
M-004412,"$2,500",2500,3/27/17 20:51,4/4/17 12:38,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-18,Lease,2130,Suffolk
M-004413,"$2,500",2500,3/27/17 21:33,3/30/17 11:39,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-26,Lease,2131,Suffolk
M-004414,"$1,000",1000,3/27/17 22:33,4/4/17 12:51,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-27,Purchase,2446,Norfolk
M-004415,"$2,500",2500,3/28/17 11:09,4/5/17 14:46,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-27,Lease,2667,Barnstable
M-004416,"$1,000",1000,3/28/17 11:51,4/4/17 11:22,PHEV,BMW X5 xDrive40e,BMW,2017,2016-12-29,Lease,2026,Norfolk
M-004417,"$1,500",1500,3/28/17 12:13,3/30/17 11:41,PHEV,Toyota Prius Prime,Toyota,2017,2017-03-23,Purchase,1890,Middlesex
M-004418,"$1,000",1000,3/28/17 14:41,4/5/17 14:45,BEV,Tesla Model X,Tesla,2017,2017-03-25,Purchase,2116,Suffolk
M-004419,"$1,500",1500,3/28/17 15:56,4/5/17 14:46,PHEV,Ford C-MAX Energi,Ford,2016,2017-03-27,Lease,2171,Norfolk
M-004420,"$1,000",1000,3/28/17 16:11,4/6/17 12:05,BEV,Tesla Model S - 90 kWh,Tesla,2017,2017-03-04,Purchase,1473,Worcester
M-004421,"$1,000",1000,3/28/17 18:53,4/5/17 15:23,BEV,Tesla Model X,Tesla,2017,2017-03-13,Purchase,2030,Norfolk
M-004422,"$2,500",2500,3/28/17 19:12,4/5/17 14:44,BEV,Ford Focus Electric,Ford,2016,2017-03-28,Purchase,1702,Middlesex
M-004423,"$2,500",2500,3/28/17 19:26,4/5/17 14:49,BEV,Nissan Leaf S,Nissan,2017,2017-03-22,Lease,2067,Norfolk
M-004424,"$2,500",2500,3/28/17 20:02,4/5/17 14:54,BEV,Chevrolet Bolt EV,Chevrolet,2017,2017-03-08,Purchase,2540,Barnstable
M-004425,"$2,500",2500,3/28/17 21:42,4/7/17 11:58,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-01-30,Lease,2144,Middlesex
M-004426,"$2,500",2500,3/28/17 21:46,4/7/17 11:36,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-26,Lease,2346,Plymouth
M-004427,"$2,500",2500,3/29/17 10:42,4/5/17 15:14,PHEV+,Chevrolet Volt,Chevrolet,2017,2017-03-25,Lease,2139,Middlesex
